2016-12-23 15:20:31 INFO  main ApplicationRunner:main:22 - Start program.
2016-12-23 15:20:48 INFO  main ParserRPN:toRPN:42 - Start toRPN() with user expression => 2^2
2016-12-23 15:20:48 INFO  main ParserRPN:toRPN:108 - Return result RPN expression => 2.0_2.0_^_
2016-12-23 15:20:48 INFO  main Calculator:calculate:60 - Start operation 'Exponentiation.class' method apply(Double... operands) with operands => 2.0, 2.0
2016-12-23 15:23:10 INFO  main ParserRPN:toRPN:42 - Start toRPN() with user expression => 2^2^3
2016-12-23 15:23:10 INFO  main ParserRPN:toRPN:108 - Return result RPN expression => 2.0_2.0_^_3.0_^_
2016-12-23 15:23:10 INFO  main Calculator:calculate:60 - Start operation 'Exponentiation.class' method apply(Double... operands) with operands => 2.0, 2.0
2016-12-23 15:23:10 INFO  main Calculator:calculate:60 - Start operation 'Exponentiation.class' method apply(Double... operands) with operands => 4.0, 3.0
2016-12-27 11:48:42 INFO  main ApplicationRunner:main:22 - Start program.
2016-12-27 11:48:44 INFO  main ParserRPN:toRPN:42 - Start toRPN() with user expression => 2+2
2016-12-27 11:48:45 INFO  main ParserRPN:toRPN:108 - Return result RPN expression => 2.0_2.0_+_
2016-12-27 11:48:45 INFO  main Calculator:calculate:60 - Start operation 'Addition.class' method apply(Double... operands) with operands => 2.0, 2.0
2016-12-27 11:48:47 INFO  main ParserRPN:toRPN:42 - Start toRPN() with user expression => 2-2
2016-12-27 11:48:47 INFO  main ParserRPN:toRPN:108 - Return result RPN expression => 2.0_2.0_-_
2016-12-27 11:48:47 INFO  main Calculator:calculate:60 - Start operation 'Subtraction.class' method apply(Double... operands) with operands => 2.0, 2.0
2016-12-27 11:48:50 INFO  main ParserRPN:toRPN:42 - Start toRPN() with user expression => 0/0
2016-12-27 11:48:50 INFO  main ParserRPN:toRPN:108 - Return result RPN expression => 0.0_0.0_/_
2016-12-27 11:48:50 INFO  main Calculator:calculate:60 - Start operation 'Division.class' method apply(Double... operands) with operands => 0.0, 0.0
